taxid	rank	name	childcount	min	max	mode	median	mean	stddev	sum16slist
33995	species	Komagataeibacter europaeus	2	4	5		4.5	4.50	0.50	[4, 5]
28448	species	Komagataeibacter xylinus	5	4	5	5	5	4.60	0.49	[4, 4, 5, 5, 5]
29552	species	Acholeplasma axanthum	2	2	2	2	2.0	2.00	0.00	[2, 2]
264635	species	Acholeplasma granularum	1	2	2	2	2	2.00	0.00	[2]
472	species	Acinetobacter sp.	1	7	7	7	7	7.00	0.00	[7]
202950	species	Acinetobacter baylyi	6	7	7	7	7.0	7.00	0.00	[7, 7, 7, 7, 7, 7]
471	species	Acinetobacter calcoaceticus	3	6	6	6	6	6.00	0.00	[6, 6, 6]
40215	species	Acinetobacter junii	5	6	6	6	6	6.00	0.00	[6, 6, 6, 6, 6]
28090	species	Acinetobacter lwoffii	4	6	7	7	7.0	6.75	0.43	[6, 7, 7, 7]
40216	species	Acinetobacter radioresistens	5	6	7	7	7	6.60	0.49	[6, 7, 7, 7, 6]
108981	species	Acinetobacter schindleri	7	6	7	7	7	6.86	0.35	[6, 7, 7, 7, 7, 7, 7]
202954	species	Acinetobacter tandoii	2	6	7		6.5	6.50	0.50	[6, 7]
202955	species	Acinetobacter tjernbergiae	1	6	6	6	6	6.00	0.00	[6]
202956	species	Acinetobacter towneri	4	6	7	7	7.0	6.75	0.43	[6, 7, 7, 7]
1166	species	Dolichospermum flos-aquae	4	5	5	5	5.0	5.00	0.00	[5, 5, 5, 5]
165800	species	Anabaenopsis sp. PCC 9215	1	4	4	4	4	4.00	0.00	[4]
156213	species	Anabaenopsis elenkinii	1	4	4	4	4	4.00	0.00	[4]
1176	species	Aphanizomenon flos-aquae	1	5	5	5	5	5.00	0.00	[5]
2714	species	Aquifex pyrophilus	1	6	6	6	6	6.00	0.00	[6]
28111	species	Bacteroides eggerthii	1	4	4	4	4	4.00	0.00	[4]
28116	species	Bacteroides ovatus	5	5	5	5	5	5.00	0.00	[5, 5, 5, 5, 5]
818	species	Bacteroides thetaiotaomicron	4	5	6	5	5.0	5.25	0.43	[6, 5, 5, 5]
820	species	Bacteroides uniformis	2	4	4	4	4.0	4.00	0.00	[4, 4]
823	species	Parabacteroides distasonis	7	7	7	7	7	7.00	0.00	[7, 7, 7, 7, 7, 7, 7]
1685	species	Bifidobacterium breve	48	2	3	3	3.0	2.52	0.50	[3, 3, 3, 2, 2, 2, 2, 2, 2, 3, 2, 3, 3, 3, 2, 2, 3, 3, 3, 3, 3, 3, 3, 2, 2, 2, 3, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 3, 2, 3, 2, 3, 3, 3, 3, 2, 2]
139	species	Borreliella burgdorferi	19	1	1	1	1	1.00	0.00	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
143	species	Borrelia anserina	2	1	1	1	1.0	1.00	0.00	[1, 1]
140	species	Borrelia hermsii	3	1	1	1	1	1.00	0.00	[1, 1, 1]
159	species	Brachyspira hyodysenteriae	4	1	1	1	1.0	1.00	0.00	[1, 1, 1, 1]
375	species	Bradyrhizobium japonicum	7	1	2	2	2	1.71	0.45	[1, 1, 2, 2, 2, 2, 2]
376	species	Bradyrhizobium sp.	3	1	1	1	1	1.00	0.00	[1, 1, 1]
186901	species	Bradyrhizobium sp. ANU289	1	1	1	1	1	1.00	0.00	[1]
292	species	Burkholderia cepacia	15	2	6	6	6	5.60	1.02	[6, 2, 6, 6, 5, 6, 5, 6, 6, 6, 6, 6, 6, 6, 6]
195	species	Campylobacter coli	34	1	4	3	3.0	2.82	0.57	[3, 3, 3, 3, 3, 3, 3, 3, 4, 3, 2, 1, 2, 3, 1, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]
28898	species	Campylobacter helveticus	11	2	3	3	3	2.82	0.39	[3, 3, 3, 2, 3, 2, 3, 3, 3, 3, 3]
